,examples,intents
2930,Что у любви у нашей села батарейка,song4
2931,О-оу-и-я-и-ё!,song5
2932,человек,human_need
2933,переключи,human_need
2934,оператор,human_need
2935,ты плохой,heckler
2936,пошел ты,heckler
2937,гавно,heckler
2938,отстой,heckler
2939,тупой,heckler
2940,ну,talks_dogs
2941,собака,talks_dogs
2942,расскажи,talks_dogs
2943,анекдот,talks_dogs
2944,животное,talks_dogs
2945,давай,talks_dogs
2946,песик,talks_dogs
2947,еще,talks_dogs
2948,шутка,talks_dogs
2949,кто здесь,definition_of_bot
2950,на что ты способен,definition_of_bot
2951,чем поможешь,definition_of_bot
2952,что ты умеешь,definition_of_bot
2953,лол,lol
2954,ха ха,lol
2955,забавно,lol
2956,ахах,lol
2957,смешно,lol
2958,Анекдот,anek
2959,Пошути,anek
2960,Расскажи анекдот,anek
2961,Мне скучно,anek
2962,Конь,spherkon
2963,Факт о коне,spherkon
2964,Сферический конь,spherkon
2965,Расскажи о коне,spherkon
2966,Шрек,shrek
2967,Цитата шрека,shrek
2968,Расскажи о Шреке,shrek
2969,Пословица,poslovica
2970,Расскажи пословицу,poslovica
2971,Народная мудрость,poslovica
2972,Законы робототехники,azimov
2973,Расскажи правила робототехники,azimov
2974,Кодекс робота,azimov
2975,Правила робототехники,azimov
2976,Монетка,coin
2977,Подкинь монетку,coin
2978,Орёл или решка,coin
2979,Кинь монету,coin
2980,Куб,dice
2981,Брось кубик,dice
2982,Брось кость,dice
2983,Кубик,dice
2984,Кость,dice
2985,Что сделать на Новый год,recipe
2986,Что приготовить,recipe
2987,Расскажи какой-нибудь рецепт,recipe
2988,Рецепт,recipe
2989,Хочу есть,recipe
2990,Что сделать на ужин,recipe
2991,Тост,wishes
2992,Какой тост сказать,wishes
2993,Скажи тост,wishes
2994,Что сказать за столом,wishes
2995,С наступающим,happynewyear
2996,С Новым годом!,happynewyear
2997,С новым годом и рождеством,happynewyear
2998,что ты умеешь делать,whatcanyoudo
2999,расскажи о своих способностях,whatcanyoudo
3000,когда твой день рождения,whenisyourbirthday
3001,когда у тебя ДР,whenisyourbirthday
